Index,DEPTH(ft),WOB(klbf),TORQUE(kft.lbf),SPP(psi),RPM(1/min),ROP(ft/h),"Fow Rate, gpm ","UCS, psi"
87,4622.5,23.524,9.345,2570.115,144.251,89.157,837.426,9564.637
88,4624,23.661,9.399,2569.846,144.191,88.358,837.139,9532.919
89,4624.5,23.706,9.417,2569.848,144.166,88.076,837.06,9515.093
90,4626,23.836,9.47,2570.126,144.082,87.254,836.868,9576.941
91,4626.5,23.877,9.487,2570.391,144.053,87.003,836.82,9684.576
92,4627.5,23.958,9.509,2570.919,143.994,86.539,836.749,9792.059
93,4628,23.969,9.516,2571.184,143.965,86.328,836.739,9788.84
94,4629.5,23.999,9.536,2571.995,143.878,85.793,836.708,9785.421
95,4630,24.009,9.543,2572.27,143.849,85.641,836.698,9782.087
96,4631,24.025,9.558,2572.821,143.79,85.366,836.678,9776.2
97,4631.5,24.033,9.565,2573.098,143.762,85.242,836.668,9773.576
98,4633,24.052,9.587,2573.947,143.68,84.91,836.64,9762.106
99,4634,24.051,9.598,2574.528,143.624,84.721,836.622,9758.377
100,4635,24.039,9.605,2575.113,143.565,84.552,836.605,9754.538
101,4635.5,24.032,9.609,2575.406,143.534,84.475,836.595,9752.995
102,4638,23.991,9.63,2576.932,143.41,84.227,836.548,9766.798
103,4640.5,23.936,9.651,2578.502,143.339,84.151,836.51,9797.666
104,4647,23.607,9.637,2583.889,142.925,84.537,836.662,9953.922
105,4652.5,23.122,9.55,2589.459,142.606,86.969,837.32,10111.2
106,4655,22.848,9.497,2592.495,142.339,88.522,837.858,10173.012
107,4656.5,22.661,9.458,2594.66,142.138,89.621,838.237,10209.818
108,4657,22.598,9.445,2595.435,142.063,90.017,838.373,10225.27
109,4658.5,22.413,9.41,2597.941,141.813,91.31,838.816,10264.797
110,4660.5,22.15,9.354,2601.729,141.424,93.141,839.473,10301.25
111,4661,22.08,9.338,2602.743,141.308,93.599,839.648,10309.453
112,4661.5,22.009,9.321,2603.784,141.179,94.055,839.827,10317.05
113,4662.5,21.864,9.285,2605.944,140.882,94.962,840.196,10333.478
114,4663,21.79,9.266,2607.058,140.726,95.407,840.386,10338.409
115,4664,21.637,9.227,2609.355,140.406,96.278,840.774,10341.011
116,4664.5,21.559,9.207,2610.538,140.244,96.703,840.965,10342.916
117,4666.5,21.225,9.12,2615.217,139.595,98.217,841.63,10350.565
118,4668,20.955,9.049,2618.376,139.107,99.11,842.025,10352.937
119,4668.5,20.861,9.025,2619.362,138.932,99.366,842.136,10351.673
120,4669,20.766,9,2620.315,138.739,99.603,842.236,10349.411
121,4672,20.173,8.84,2625.089,137.306,100.679,842.601,10323.153
122,4674,19.768,8.735,2627.315,136.158,101.018,842.585,10298.885
123,4674.5,19.67,8.71,2627.711,135.843,101.035,842.544,10292.001
124,4675,19.572,8.684,2628.04,135.516,101.024,842.488,10284.538
125,4676.5,19.263,8.601,2628.643,134.457,100.821,842.23,10255.278
126,4677,19.155,8.571,2628.708,134.073,100.687,842.112,10246.647
127,4677.5,19.044,8.541,2628.702,133.671,100.518,841.98,10238.693
128,4679.5,18.579,8.414,2627.927,131.889,99.493,841.281,10204.374
129,4680,18.458,8.381,2627.525,131.404,99.16,841.061,10196.049
130,4682,17.96,8.249,2624.974,129.332,97.548,839.994,10165.33
131,4685,17.19,8.054,2618.269,125.91,94.322,837.824,10109.66
132,4685.5,17.062,8.022,2616.817,125.306,93.712,837.393,10100.577
133,4688.5,16.275,7.828,2606.076,121.506,89.681,834.379,10050.21
134,4689,16.137,7.794,2603.928,120.841,88.95,833.804,10040.889
135,4690,15.86,7.725,2599.314,119.481,87.422,832.589,10026.339
136,4690.5,15.72,7.691,2596.848,118.784,86.624,831.95,10022.956
137,4691,15.581,7.656,2594.281,118.078,85.806,831.291,10018.606
138,4691.5,15.441,7.621,2591.615,117.361,84.968,830.61,10011.754
139,4695,14.454,7.376,2570.183,112.215,78.476,825.29,9976.173
140,4696.5,14.041,7.275,2559.529,109.875,75.3,822.762,9965.621
141,4698.5,13.513,7.142,2544.337,106.59,70.903,819.329,9960.81
142,4699,13.391,7.113,2540.459,105.741,69.802,818.462,9959.105
143,4700,13.165,7.061,2532.625,104.06,67.699,816.715,9955.124
144,4703,12.603,6.934,2508.593,99.524,62.397,811.392,9944.3
145,4703.5,12.526,6.917,2504.597,98.839,61.719,810.496,9944.764
146,4704,12.452,6.901,2500.637,98.182,61.12,809.596,9944.559
147,4704.5,12.382,6.886,2496.715,97.554,60.603,808.7,9945.237
148,4706,12.192,6.844,2485.185,95.855,59.434,806.073,9950.939
149,4708,11.964,6.79,2470.379,94.162,58.476,802.708,9961.246
150,4709,11.854,6.762,2463.24,93.582,58.173,801.088,9968.779
151,4710.5,11.697,6.719,2452.851,92.948,57.919,798.742,9988.21
152,4711.5,11.596,6.69,2446.183,92.672,57.901,797.235,10002.409
153,4713.5,11.408,6.634,2433.594,92.433,58.212,794.375,10038.676
154,4715.5,11.244,6.583,2422.066,92.593,58.968,791.752,10084.24
155,4716.5,11.176,6.561,2416.736,92.822,59.492,790.532,10106.892
156,4718,11.094,6.533,2409.305,93.337,60.417,788.819,10138.968
157,4718.5,11.072,6.525,2406.983,93.552,60.762,788.28,10151.928
158,4722.5,11.011,6.489,2391.06,96.095,64.109,784.592,10267.674
159,4723.5,11.027,6.488,2387.781,96.958,65.018,783.839,10299.994
160,4726,11.123,6.494,2380.797,99.465,67.325,782.251,10385.222
161,4727,11.18,6.5,2378.504,100.586,68.269,781.735,10425.14
162,4730,11.445,6.542,2373.472,104.265,71.147,780.689,10530.367
163,4733.5,11.963,6.647,2372.87,108.676,74.877,780.731,10680.285
164,4734,12.056,6.667,2373.393,109.26,75.429,780.861,10703.116
165,4735,12.255,6.711,2374.846,110.394,76.524,781.21,10745.602
166,4737,12.694,6.807,2378.887,112.538,78.403,782.173,10822.958
167,4738.5,13.035,6.877,2382.862,113.989,79.365,783.044,10878.967
168,4740,13.364,6.941,2387.695,115.181,79.88,784.047,10948.379
169,4743,14.021,7.071,2399.717,117.221,79.341,786.48,11085.963
170,4745,14.497,7.172,2409.749,118.416,78.283,788.645,11190.78
171,4746.5,14.912,7.272,2419.877,119.255,77.526,790.744,11263.385
172,4747.5,15.211,7.347,2427.833,119.798,77.157,792.275,11305.339
173,4748,15.365,7.386,2432.023,120.077,76.99,793.063,11324.101
174,4749,15.677,7.466,2440.754,120.665,76.685,794.668,11361.818
175,4750.5,16.155,7.59,2454.287,121.608,76.256,797.111,11403.599
176,4752,16.642,7.716,2467.953,122.57,75.828,799.555,11432.909
177,4752.5,16.806,7.759,2472.501,122.898,75.685,800.369,11438.222
178,4755.5,17.797,8.014,2500.057,124.819,74.784,805.238,10977.496
179,4756,17.962,8.056,2504.712,125.115,74.627,806.045,10978.789
180,4758.5,18.799,8.266,2528.298,126.551,73.822,810.059,10597.623
181,4760,19.296,8.39,2542.712,127.405,73.454,812.45,10163.154
182,4764,20.572,8.709,2582.238,129.719,73.194,818.765,9566.39
183,4766,21.184,8.864,2602.568,130.932,73.452,821.891,9057.218
184,4766.5,21.333,8.902,2607.706,131.245,73.545,822.669,8935.253
185,4768.5,21.915,9.049,2628.065,132.449,74.006,825.764,8459.665
186,4771.5,22.703,9.246,2657.127,134.129,74.873,830.147,7611.252
187,4772,22.82,9.274,2661.716,134.396,75.027,830.827,7462.743
188,4772.5,22.93,9.3,2666.232,134.658,75.181,831.489,7319.401
189,4773,23.035,9.324,2670.679,134.917,75.325,832.133,7171.602
190,4773.5,23.132,9.346,2675.057,135.171,75.457,832.76,7016.106
191,4774.5,23.312,9.386,2683.603,135.665,75.687,833.968,6697.589
192,4775,23.396,9.404,2687.764,135.903,75.79,834.549,6537.125
193,4776.5,23.617,9.453,2699.727,136.595,76.091,836.203,6017.333
194,4777,23.679,9.466,2703.543,136.82,76.187,836.725,5838.481
195,4777.5,23.736,9.478,2707.271,137.043,76.275,837.232,5660.743
196,4780,23.955,9.521,2724.588,137.972,76.632,839.54,4819.227
197,4783,24.102,9.548,2741.702,138.509,76.974,841.787,4344.475
198,4784,24.115,9.546,2745.478,138.593,76.855,842.361,3998.782
199,4785.5,24.075,9.528,2749.616,138.642,76.545,842.863,3836.969
200,4786.5,24.017,9.508,2751.775,138.669,76.288,842.994,3748.222
201,4787,23.982,9.497,2752.772,138.682,76.149,843.024,3702.299
202,4787.5,23.942,9.485,2753.718,138.694,76.007,843.031,3651.386
203,4788,23.901,9.473,2754.629,138.705,75.864,843.027,3481.693
204,4790.5,23.676,9.411,2759.321,138.756,75.162,842.907,2855.477
205,4791.5,23.576,9.385,2761.187,138.772,74.902,842.848,2766.992
206,4792.5,23.479,9.364,2763.025,138.787,74.661,842.791,2663.671
207,4795,23.26,9.321,2767.503,138.821,74.452,842.666,2332.19
208,4795.5,23.218,9.313,2768.35,138.829,74.444,842.644,2264.025
209,4796.5,23.136,9.3,2769.98,138.836,74.462,842.605,2129.145
210,4798,23.013,9.282,2772.27,138.857,74.565,842.558,1978.868
211,4798.5,22.971,9.275,2772.991,138.872,74.606,842.546,1936.5
212,4800,22.841,9.256,2775.024,138.926,74.721,842.519,1811.786
213,4801,22.753,9.243,2776.27,138.966,74.796,842.508,1744.916
214,4802,22.663,9.23,2777.436,139.005,74.875,842.503,1688.048
215,4802.5,22.618,9.223,2777.992,139.023,74.916,842.502,1674.547
216,4803,22.573,9.217,2778.53,139.041,74.955,842.502,1680.187
217,4804.5,22.433,9.196,2780.025,139.096,75.065,842.509,2034.401
218,4805,22.386,9.189,2780.479,139.116,75.102,842.512,2216.682
219,4805.5,22.338,9.183,2780.909,139.135,75.14,842.517,2398.334
220,4807.5,22.159,9.159,2782.462,139.209,75.308,842.547,2888.533
221,4808,22.117,9.154,2782.81,139.222,75.349,842.556,2851.749
222,4808.5,22.076,9.149,2783.139,139.232,75.391,842.567,2815.589
223,4810,21.957,9.135,2784.012,139.261,75.549,842.601,2762.987
224,4811,21.88,9.127,2784.491,139.3,75.716,842.628,2750.295
225,4811.5,21.841,9.124,2784.698,139.325,75.812,842.643,2747.095
226,4813.5,21.714,9.124,2785.374,139.43,76.222,842.719,2760.191
227,4816,21.541,9.112,2785.222,139.562,76.681,842.875,2779.013
228,4816.5,21.507,9.11,2785.016,139.586,76.742,842.908,2779.149
229,4817,21.474,9.109,2784.806,139.611,76.802,842.94,2778.706
230,4817.5,21.443,9.109,2784.593,139.635,76.861,842.971,2778.011
231,4818,21.413,9.108,2784.375,139.659,76.919,843.002,2775.649
232,4818.5,21.383,9.108,2784.154,139.684,76.977,843.033,2769.71
233,4819.5,21.32,9.109,2783.702,139.736,77.095,843.095,2744.082
234,4820.5,21.255,9.109,2783.235,139.787,77.218,843.155,2713.22
235,4821,21.22,9.108,2782.996,139.811,77.281,843.183,2702.833
236,4823.5,21.028,9.106,2781.736,139.931,77.621,843.318,2687.744
237,4824,20.985,9.105,2781.466,139.956,77.694,843.343,2687.69
238,4826,20.8,9.1,2780.309,140.063,77.986,843.438,2670.616
239,4826.5,20.75,9.099,2779.992,140.092,78.057,843.461,2659.066
240,4828.5,20.534,9.095,2778.628,140.227,78.317,843.55,2838.841
241,4831.5,20.144,9.082,2776.257,140.379,78.304,843.673,2430.683
242,4832,20.07,9.073,2775.821,140.399,78.261,843.693,2237.232
243,4834,19.687,9.035,2774.081,140.493,77.979,843.765,1574.308
244,4836,19.261,8.998,2772.823,140.615,77.7,843.805,1470.766
245,4837,19.029,8.976,2772.651,140.684,77.662,843.821,1472.961
246,4839,18.539,8.925,2772.322,140.847,77.564,843.847,1463.958
247,4840,18.286,8.897,2772.159,140.926,77.502,843.855,1454.803
248,4840.5,18.158,8.883,2772.077,140.963,77.467,843.859,1449.817
249,4842,17.771,8.841,2771.83,141.063,77.345,843.869,1436.823
250,4842.5,17.641,8.828,2771.75,141.09,77.296,843.872,1432.353
251,4844,17.26,8.789,2771.515,141.15,77.137,843.879,1421.241
252,4846.5,16.653,8.731,2771.135,141.155,76.867,843.888,1410.552
253,4847.5,16.414,8.71,2771.018,141.115,76.756,843.89,1415.633
254,4850,15.81,8.652,2770.743,140.886,76.474,843.905,1430.561
255,4850.5,15.691,8.641,2770.677,140.813,76.423,843.911,1431.994
256,4851.5,15.457,8.62,2770.539,140.65,76.374,843.925,1433.153
257,4852,15.344,8.611,2770.54,140.561,76.376,843.932,1433.274
258,4856,14.608,8.59,2772.646,139.585,76.538,843.912,1206.108
259,4857,14.471,8.596,2773.295,139.245,76.569,843.893,1187.761
260,4859,14.242,8.615,2774.605,138.447,76.645,843.851,1164.482
261,4860,14.149,8.628,2775.26,137.988,76.696,843.828,1170.34
262,4860.5,14.108,8.636,2775.587,137.74,76.725,843.817,1181.073
263,4861,14.071,8.645,2775.915,137.48,76.758,843.807,1194.399
264,4862,14.007,8.664,2776.57,136.942,76.831,843.788,1247.755
265,4866.5,13.826,8.753,2779.607,134.691,77.38,843.712,2866.046
266,4869.5,13.769,8.797,2781.613,133.379,77.932,843.62,3967.196
267,4870.5,13.783,8.818,2782.13,132.987,78.082,843.547,4324.262
268,4871.5,13.82,8.845,2782.55,132.651,78.215,843.451,4672.368
269,4873.5,13.958,8.91,2782.779,132.012,78.259,843.235,5360.506
270,4874,14.005,8.925,2782.575,131.843,78.246,843.186,5527.286
271,4874.5,14.051,8.938,2782.353,131.667,78.228,843.141,5688.67
272,4875.5,14.141,8.964,2781.872,131.297,78.181,843.063,5998.973
273,4876.5,14.24,8.992,2781.403,130.921,78.133,842.99,6302.59
274,4880.5,14.703,9.109,2779.661,129.904,77.946,842.719,7567.419
275,4882,14.904,9.157,2779.056,129.816,77.867,842.628,8069.165
276,4882.5,14.974,9.173,2778.863,129.826,77.84,842.599,8240.632
277,4883,15.043,9.188,2778.676,129.848,77.815,842.57,8416.095
278,4883.5,15.111,9.204,2778.489,129.876,77.79,842.541,8593.602
279,4884.5,15.249,9.235,2778.112,129.953,77.744,842.484,8955.044
280,4885,15.318,9.251,2777.922,130.005,77.726,842.456,9135.21
281,4886,15.458,9.282,2777.554,130.139,77.702,842.402,9477.44
282,4886.5,15.528,9.297,2777.382,130.222,77.696,842.375,9637.173
283,4887.5,15.668,9.329,2777.064,130.421,77.697,842.322,9937.495
284,4888.5,15.807,9.361,2776.807,130.655,77.685,842.268,10226.755
285,4889,15.891,9.379,2776.708,130.784,77.669,842.294,10355.513
286,4889.5,15.975,9.397,2776.627,130.921,77.645,842.319,10436.032
287,4890,16.059,9.415,2776.824,131.066,77.847,842.343,10395.811
288,4891,16.222,9.447,2777.193,131.381,78.28,842.388,10353.863
289,4894.5,16.711,9.531,2778.299,133.308,79.891,842.555,10276.229
290,4895.5,16.824,9.547,2778.596,133.948,80.339,842.607,10246.269
291,4896.5,16.922,9.558,2778.883,134.568,80.771,842.661,10211.325
292,4897,16.967,9.562,2779.026,134.87,80.982,842.688,10195.122
293,4898.5,17.081,9.567,2779.457,135.715,81.59,842.769,10161.327
294,4899,17.115,9.567,2779.603,135.976,81.785,842.796,10152.293
295,4901,17.225,9.557,2780.209,136.955,82.534,842.9,10138.467
296,4906,17.413,9.517,2781.86,138.836,83.987,843.131,10349.768
297,4906.5,17.43,9.514,2782.053,139.034,84.149,843.153,10373.032
298,4908.5,17.513,9.505,2783.101,139.87,84.834,843.243,10484.96
299,4909.5,17.546,9.495,2783.743,140.263,85.18,843.314,10524.518
300,4910,17.559,9.489,2784.083,140.446,85.36,843.358,10534.36
301,4911,17.578,9.473,2784.802,140.779,85.745,843.462,10545.406
302,4912,17.585,9.455,2785.595,141.067,86.155,843.587,10547.444
303,4913,17.591,9.437,2786.451,141.305,86.577,843.712,10561.74
304,4914,17.598,9.42,2787.304,141.492,87.009,843.83,10601.884
305,4914.5,17.601,9.412,2787.72,141.572,87.227,843.887,10624.391
306,4915.5,17.606,9.396,2788.532,141.729,87.665,843.998,10675.01
307,4916,17.607,9.388,2788.93,141.807,87.885,844.053,10700.624
308,4920.5,17.636,9.338,2792.319,142.478,89.92,844.537,10724.778
309,4921.5,17.633,9.324,2793.075,142.63,90.369,844.642,10411.403
310,4922,17.628,9.315,2793.452,142.706,90.583,844.693,10246.602
311,4923,17.608,9.295,2794.192,142.851,90.973,844.796,9917.456
312,4925,17.538,9.247,2795.621,142.85,91.642,845.001,9279.783
313,4925.5,17.515,9.234,2795.972,142.798,91.807,845.052,9121.53
314,4928.5,17.354,9.151,2797.173,142.574,91.557,845.366,8146.718
315,4929.5,17.271,9.121,2797.28,142.498,91.364,845.363,7814.312
316,4932.5,17.029,9.046,2797.642,142.221,90.765,845.341,6792.895
317,4933.5,16.954,9.025,2797.809,142.101,90.562,845.334,6429.327
318,4934,16.918,9.015,2797.901,142.037,90.459,845.332,6241.298
319,4934.5,16.883,9.005,2797.996,141.97,90.356,845.33,6050.679
320,4935,16.849,8.997,2798.093,141.9,90.253,845.328,5862.106
321,4935.5,16.816,8.99,2798.193,141.826,90.148,845.327,5676.23
322,4938,16.67,8.967,2798.752,141.431,89.619,845.315,4781.445
323,4938.5,16.644,8.964,2798.895,141.343,89.514,845.309,4603.584
324,4939,16.618,8.962,2799.05,141.249,89.41,845.304,4425.927
325,4944.5,16.393,8.96,2800.971,139.924,88.174,845.249,2444.706
326,4945.5,16.376,8.968,2801.344,139.638,87.928,845.241,2078.534
327,4949,16.452,9.036,2802.6,138.474,87.193,845.23,1561.192
328,4949.5,16.47,9.048,2802.765,138.263,87.099,845.229,1559.402
329,4950,16.489,9.06,2802.925,138.033,87.006,845.229,1557.457
330,4951,16.53,9.086,2803.227,137.548,86.809,845.228,1552.205
331,4951.5,16.551,9.099,2803.372,137.305,86.706,845.226,1547.365
332,4952,16.57,9.111,2803.516,137.061,86.599,845.226,1543.713
333,4952.5,16.587,9.121,2803.662,136.816,86.489,845.226,1542.194
334,4954,16.624,9.145,2804.1,136.078,86.033,845.231,1545.703
335,4954.5,16.635,9.152,2804.246,135.83,85.838,845.232,1546.651
336,4955.5,16.658,9.166,2804.529,135.332,85.408,845.227,1546.116
337,4956,16.671,9.173,2804.65,135.085,85.201,845.22,1545.504
338,4956.5,16.685,9.18,2804.758,134.838,85.002,845.211,1544.596
339,4957,16.699,9.188,2804.844,134.59,84.81,845.199,1542.733
340,4957.5,16.714,9.195,2804.907,134.339,84.625,845.184,1540.68
341,4966,17.203,9.406,2802.395,131.152,83.138,844.584,1600.173
342,4967.5,17.336,9.457,2801.26,130.903,83.124,844.404,2042.409
343,4968,17.382,9.474,2800.84,130.841,83.13,844.338,2072.302
344,4969,17.474,9.508,2799.937,130.749,83.16,844.198,2107.874
