Index,DEPTH(ft),WOB(klbf),TORQUE(kft.lbf),SPP(psi),RPM(1/min),ROP(ft/h),"Fow Rate, gpm ","UCS, psi"
375,5010.5,21.065,10.264,2743.66,146.458,91.465,836.715,2746.591
376,5011,21.092,10.257,2743.537,146.524,91.142,836.688,2733.912
377,5012.5,21.172,10.233,2743.52,146.728,90.186,836.621,3098.774
378,5013,21.195,10.217,2743.545,146.798,89.866,836.609,3224.113
379,5013.5,21.198,10.201,2743.572,146.868,89.544,836.608,3350.261
380,5014,21.201,10.185,2743.6,146.94,89.223,836.607,3355.997
381,5015,21.205,10.154,2743.662,147.087,88.604,836.605,3239.162
382,5016,21.208,10.122,2743.734,147.236,88.014,836.613,3226.902
383,5016.5,21.209,10.106,2743.789,147.312,87.726,836.622,3213.572
384,5018,21.211,10.057,2744.058,147.54,86.889,836.668,3028.87
385,5019.5,21.21,10.006,2744.499,147.766,86.084,836.738,2727.939
386,5022.5,21.2,9.902,2745.986,148.233,84.664,836.969,2753.346
387,5023,21.195,9.884,2746.308,148.312,84.46,837.02,2767.747
388,5024.5,21.175,9.827,2747.388,148.549,83.897,837.186,3073.991
389,5025.5,21.154,9.788,2748.214,148.707,83.572,837.31,3367.915
390,5027,21.095,9.724,2749.608,148.967,83.155,837.518,3804.626
391,5028,21.041,9.676,2750.643,149.152,82.918,837.683,4087.917
392,5029.5,20.939,9.597,2752.047,149.446,82.556,837.981,4265.359
393,5031,20.825,9.514,2753.14,149.78,82.178,838.32,4601.193
394,5031.5,20.788,9.487,2753.497,149.897,82.067,838.437,4754.595
395,5035,20.475,9.294,2756.512,150.729,81.7,839.332,5153.448
396,5035.5,20.419,9.265,2757.016,150.848,81.72,839.471,5140.585
397,5040,19.77,8.969,2762.279,152.009,82.595,840.764,4860.253
398,5041.5,19.499,8.863,2764.213,152.455,83.229,841.194,5179.251
399,5042,19.402,8.826,2764.86,152.611,83.472,841.338,5326.893
400,5043.5,19.098,8.716,2766.813,153.096,84.289,841.768,5787.125
401,5044.5,18.882,8.642,2768.139,153.435,84.904,842.052,6115.62
402,5045.5,18.658,8.567,2769.482,153.783,85.577,842.336,6443.567
403,5047,18.308,8.453,2771.518,154.325,86.668,842.765,6918.556
404,5048.5,17.945,8.336,2773.562,154.891,87.809,843.198,7234.912
405,5050.5,17.467,8.184,2776.261,155.663,89.464,843.781,7261.715
406,5051,17.357,8.15,2776.939,155.858,89.895,843.925,7139.857
407,5052,17.147,8.087,2778.329,156.246,90.769,844.195,6902.577
408,5053,16.95,8.031,2779.944,156.635,91.672,844.443,6680.588
409,5055,16.536,7.915,2783.621,157.337,93.582,844.895,6541.131
410,5056.5,16.2,7.824,2786.139,157.804,95.071,845.178,6751.255
411,5057,16.088,7.794,2786.917,157.949,95.571,845.259,6898.771
412,5059,15.644,7.678,2789.73,158.453,97.555,845.521,7067.676
413,5059.5,15.533,7.65,2790.353,158.561,98.05,845.571,7122.67
414,5062,14.98,7.511,2793.078,158.993,100.378,845.729,7783.679
415,5062.5,14.871,7.484,2793.539,159.052,100.797,845.741,7968.416
416,5063,14.762,7.457,2793.971,159.106,101.206,845.748,8153.108
417,5066,14.125,7.298,2796.054,159.371,103.464,845.677,9207.063
418,5067,13.932,7.249,2796.802,159.448,104.196,845.606,9421.051
419,5067.5,13.838,7.226,2797.226,159.486,104.558,845.558,9465.745
420,5068.5,13.656,7.184,2798.151,159.554,105.241,845.432,9546.148
421,5069.5,13.482,7.144,2799.004,159.607,105.87,845.265,9623.808
422,5071.5,13.127,7.064,2800.376,159.649,106.903,844.85,9770.039
423,5073.5,12.763,6.985,2801.325,159.587,107.65,844.349,9937.056
424,5077.5,12.128,6.856,2802.094,159.247,108.348,843.087,10984.999
425,5077.5,12.128,6.856,2802.094,159.247,108.348,843.087,10984.999
426,5078,12.06,6.843,2802.114,159.186,108.342,842.909,11168.027
427,5079.5,11.868,6.807,2802.139,158.981,108.202,842.359,11700.778
428,5081,11.674,6.767,2802.102,158.748,107.907,841.774,12177.648
429,5082.5,11.449,6.715,2801.961,158.495,107.475,841.125,12259.718
430,5084,11.238,6.665,2801.746,158.236,106.934,840.469,12429.479
431,5084.5,11.173,6.65,2801.676,158.153,106.719,840.251,12434.247
432,5085.5,11.049,6.62,2801.542,158.017,106.239,839.814,12429.409
433,5086,10.989,6.607,2801.481,157.979,105.974,839.596,12426.439
434,5087.5,10.819,6.567,2801.33,157.91,105.075,838.942,12429.975
435,5088,10.764,6.553,2801.291,157.898,104.731,838.724,12433.945
436,5088.5,10.709,6.54,2801.255,157.892,104.359,838.507,12440.629
437,5089,10.654,6.526,2801.221,157.892,103.955,838.289,12453.36
438,5090.5,10.479,6.477,2800.876,157.928,102.576,837.637,12514.641
439,5091,10.413,6.458,2800.647,157.95,102.09,837.422,12536.766
440,5092.5,10.196,6.392,2799.846,158.043,100.595,836.813,12584.247
441,5093,10.118,6.37,2799.615,158.082,100.089,836.622,12586.944
442,5093.5,10.042,6.348,2799.4,158.121,99.579,836.435,12584.974
443,5094.5,9.901,6.306,2799.019,158.199,98.548,836.069,12580.832
444,5097.5,9.529,6.187,2798.066,158.399,95.352,835.041,12612.843
445,5098,9.468,6.167,2797.916,158.43,94.83,834.878,12621.382
446,5099.5,9.284,6.106,2797.47,158.52,93.304,834.401,12639.038
447,5105.5,8.522,5.865,2795.684,158.824,87.303,832.642,12640.002
448,5106,8.459,5.846,2795.525,158.826,86.831,832.505,12637.151
449,5107,8.334,5.81,2795.201,158.818,85.915,832.238,12611.021
450,5109.5,8.028,5.722,2794.356,158.746,83.781,831.603,11894.413
451,5110,7.969,5.705,2794.182,158.722,83.38,831.48,11703.964
452,5113.5,7.577,5.601,2792.899,158.494,80.849,830.659,10572.973
453,5115.5,7.372,5.55,2792.082,158.302,79.664,830.221,10461.075
454,5117,7.226,5.515,2791.444,158.09,78.926,829.918,10344.557
455,5118,7.132,5.493,2791.013,157.896,78.504,829.732,10260.021
456,5119,7.042,5.474,2790.59,157.677,78.131,829.558,10179.61
457,5121,6.91,5.45,2789.722,157.16,77.45,829.31,10031.237
458,5122,6.906,5.455,2788.563,156.861,77.03,829.176,9959.845
459,5122.5,6.916,5.459,2787.792,156.702,76.866,829.086,9928.576
460,5123.5,6.946,5.47,2785.884,156.368,76.646,828.845,9873.286
461,5124.5,6.986,5.482,2783.485,156.007,76.523,828.526,9822.287
462,5125,7.009,5.489,2782.1,155.825,76.478,828.337,9800.478
463,5127.5,7.176,5.537,2773.298,154.985,76.375,827.092,9770.571
464,5129.5,7.382,5.594,2763.994,154.362,76.213,825.733,9787.445
465,5131,7.561,5.642,2755.725,153.891,75.994,824.511,9802.075
466,5133.5,7.882,5.73,2739.666,153.085,75.48,822.11,9751.06
467,5135,8.094,5.79,2728.838,152.601,75.106,820.475,9584.391
468,5135.5,8.17,5.812,2725.05,152.444,74.973,819.899,9554.563
469,5141.5,9.327,6.176,2672.592,150.862,74.06,811.655,10307.274
470,5142,9.453,6.217,2667.382,150.732,74.023,810.809,10322.119
471,5142.5,9.584,6.26,2662.102,150.602,74.004,809.938,10340.817
472,5145.5,10.403,6.543,2630.026,149.814,74.305,804.478,10497.596
473,5146.5,10.683,6.645,2619.376,149.534,74.461,802.659,10562.662
474,5147,10.823,6.697,2614.081,149.39,74.557,801.752,10597.48
475,5147.5,10.964,6.75,2608.805,149.244,74.663,800.846,10629.395
476,5149,11.388,6.912,2593.058,148.806,75.048,798.141,10717.579
477,5150,11.674,7.022,2582.611,148.509,75.355,796.347,10785.123
478,5150.5,11.819,7.078,2577.397,148.357,75.523,795.452,10816.054
479,5153.5,12.734,7.429,2546.203,147.464,76.633,790.107,10932.402
480,5154.5,13.048,7.548,2535.85,147.173,77.005,788.335,10940.235
481,5156,13.513,7.723,2520.412,146.741,77.545,785.741,10888.771
482,5156.5,13.664,7.78,2515.365,146.597,77.706,784.901,10861.886
483,5157.5,13.962,7.89,2505.47,146.298,78.023,783.257,10798.157
484,5160,14.683,8.158,2483.383,145.519,78.794,779.372,10533.642
485,5161,14.959,8.263,2475.955,145.217,78.915,777.869,10276.569
486,5162.5,15.338,8.413,2466.244,144.778,79.114,775.846,10510.004
487,5170.5,16.808,9.116,2443.392,142.403,81.057,770.017,8553.066
488,5171,16.88,9.156,2443.549,142.277,81.235,769.931,8368.884
489,5172,17.021,9.237,2444.367,142.042,81.607,769.851,7981.181
490,5173,17.153,9.314,2445.858,141.822,81.988,769.897,7583.015
491,5180,17.527,9.618,2473.585,140.774,82.982,773.756,4679.216
492,5181.5,17.514,9.638,2483.789,140.704,82.676,775.372,4054.657
493,5182.5,17.498,9.644,2490.703,140.675,82.444,776.591,3666.462
494,5183.5,17.468,9.644,2497.598,140.652,82.183,777.909,3298.12
495,5184,17.452,9.642,2501.029,140.64,82.031,778.579,3119.704
496,5186,17.377,9.613,2514.644,140.589,81.277,781.258,2405.767
497,5188.5,17.227,9.537,2531.588,140.641,80.034,784.608,1972.669
498,5189,17.19,9.517,2534.986,140.658,79.755,785.276,1826.872
499,5190,17.11,9.472,2541.797,140.688,79.179,786.611,1776.597
500,5191,17.014,9.419,2548.614,140.707,78.59,787.946,1719.641
501,5191.5,16.96,9.39,2552.018,140.71,78.291,788.613,1693.034
502,5194.5,16.58,9.187,2572.421,140.666,76.749,792.557,1613.375
503,5196,16.394,9.085,2582.517,140.647,76.496,794.45,1582.282
504,5201,15.733,8.727,2611.589,140.483,77.154,799.941,1447.617
505,5201.5,15.657,8.687,2614.099,140.458,77.297,800.417,1441.249
506,5202,15.58,8.646,2616.54,140.433,77.445,800.879,1435.978
507,5202.5,15.501,8.605,2618.911,140.406,77.598,801.328,1431.12
508,5203.5,15.349,8.525,2623.443,140.351,77.921,802.186,1421.667
509,5204.5,15.208,8.448,2627.688,140.299,78.257,802.99,1406.489
510,5205.5,15.077,8.373,2631.645,140.239,78.597,803.741,1390.639
511,5207,14.885,8.262,2637.029,140.12,79.101,804.773,1363.915
512,5208.5,14.692,8.15,2641.731,139.977,79.568,805.686,1334.613
513,5210.5,14.427,7.996,2646.995,139.702,80.197,806.707,1305.226
514,5212.5,14.152,7.839,2651.424,139.36,81.149,807.517,1271.057
515,5215.5,13.805,7.636,2656.613,138.852,82.957,808.25,1279.173
516,5216,13.756,7.605,2657.208,138.776,83.286,808.318,1280.919
517,5217.5,13.621,7.517,2658.573,138.564,84.313,808.435,1287.241
518,5218,13.578,7.488,2658.89,138.49,84.667,808.446,1291.867
519,5218.5,13.535,7.46,2659.202,138.414,85.026,808.444,1297.966
520,5219,13.493,7.432,2659.519,138.335,85.374,808.428,1303.846
521,5219.5,13.452,7.405,2659.841,138.253,85.722,808.398,1308.946
522,5220,13.409,7.377,2660.165,138.173,86.072,808.365,1317.708
523,5222.5,13.158,7.229,2661.871,137.811,87.871,808.204,1403.951
524,5223,13.105,7.201,2662.227,137.747,88.237,808.172,1420.451
525,5223.5,13.052,7.173,2662.587,137.685,88.605,808.139,1435.977
526,5225.5,12.854,7.074,2664.058,137.459,90.087,808.009,1481.154
527,5226.5,12.766,7.031,2664.793,137.348,90.83,807.944,1496.312
528,5229,12.589,6.94,2666.621,137.084,92.685,807.785,1513.624
529,5230,12.53,6.909,2667.359,137.012,93.426,807.723,1517.08
530,5230.5,12.5,6.894,2667.729,136.976,93.764,807.692,1518.757
531,5232,12.416,6.857,2668.514,136.874,94.488,807.6,1527.554
532,5235.5,12.253,6.789,2669.154,136.728,95.622,807.483,1549.025
533,5237,12.197,6.767,2669.406,136.763,95.882,807.44,1589.934
534,5237.5,12.182,6.761,2669.486,136.795,95.944,807.425,1611.335
535,5241.5,12.179,6.758,2669.974,137.28,96.156,807.309,1651.65
536,5242.5,12.213,6.767,2670.024,137.438,96.098,807.283,1642.924
537,5245,12.308,6.787,2670.195,137.848,95.911,807.21,1626.52
538,5245.5,12.327,6.792,2670.26,137.925,95.885,807.195,1622.09
539,5247,12.391,6.808,2670.468,138.15,95.754,807.15,1597.584
540,5250.5,12.558,6.849,2670.173,138.636,95.203,807.181,1457.571
541,5251.5,12.607,6.859,2669.558,138.765,95.017,807.217,1432.21
542,5252,12.633,6.863,2669.249,138.83,94.917,807.234,1424.855
543,5254.5,12.739,6.881,2667.781,139.184,94.373,807.31,1410.573
544,5255,12.753,6.883,2667.511,139.256,94.268,807.324,1415.814
545,5256.5,12.802,6.892,2666.751,139.463,93.963,807.363,1462.927
546,5258,12.86,6.905,2666.05,139.675,93.628,807.403,1991.04
547,5261.5,12.997,6.942,2664.596,140.162,92.841,807.492,3396.024
548,5264,13.072,6.966,2663.777,140.4,92.35,807.56,4365.18
549,5266.5,13.118,6.985,2663.304,140.493,91.901,807.617,5293.242
550,5268,13.118,6.991,2663.18,140.466,91.741,807.642,5921.367
551,5269,13.101,6.992,2663.133,140.43,91.687,807.66,6361.03
552,5270.5,13.07,6.995,2662.993,140.362,91.594,807.689,7018.427
553,5271,13.061,6.996,2662.936,140.338,91.562,807.698,7233.648
554,5273,13.014,7,2662.728,140.249,91.513,807.711,8056.898
555,5274,12.984,7.003,2662.844,140.22,91.534,807.675,8449.647
556,5275.5,12.94,7.01,2663.711,140.181,91.582,807.59,9051.413
557,5276.5,12.916,7.021,2664.475,140.162,91.631,807.534,9471.974
558,5278.5,12.872,7.043,2666.046,140.147,91.845,807.425,10354.579
559,5279,12.859,7.049,2666.442,140.142,91.924,807.398,10573.347
560,5280,12.827,7.055,2667.241,140.127,92.1,807.344,11003.275
561,5281,12.781,7.058,2668.023,140.105,92.289,807.289,11424.31
562,5281.5,12.753,7.058,2668.392,140.092,92.387,807.261,11629.73
563,5283.5,12.624,7.052,2669.725,140.04,92.835,807.154,12340.574
564,5284,12.588,7.05,2670.033,140.027,92.957,807.129,12342.429
565,5284.5,12.55,7.047,2670.333,140.014,93.083,807.105,12200.222
566,5286,12.432,7.038,2671.203,139.976,93.468,807.032,11684.127
567,5286.5,12.39,7.034,2671.559,139.963,93.598,807.007,11528.782
568,5290,12.108,7.02,2675.462,139.849,94.575,806.735,11557.752
569,5291,12.037,7.022,2676.658,139.799,94.864,806.636,11546.822
570,5291.5,12.004,7.025,2677.208,139.777,95.004,806.598,11536.222
571,5292,11.972,7.028,2677.688,139.756,95.14,806.566,11512.993
572,5293.5,11.89,7.042,2678.706,139.706,95.544,806.511,11023.81
573,5300,11.739,7.134,2680.788,139.498,97.211,806.423,9926.375
574,5301,11.724,7.148,2681.005,139.436,97.43,806.421,9754.756
575,5302.5,11.696,7.166,2681.232,139.312,97.75,806.42,9311.993
576,5304,11.663,7.181,2681.314,139.165,97.993,806.422,9144.161
577,5304.5,11.654,7.187,2681.314,139.112,98.048,806.425,9129.253
578,5307.5,11.66,7.238,2681.194,138.821,98.266,806.467,9051.969
579,5309.5,11.742,7.291,2681.23,138.637,98.291,806.509,8994.081
580,5310,11.772,7.307,2681.242,138.585,98.277,806.522,9005.692
581,5313,12.013,7.414,2680.226,138.345,98.063,806.652,9317.354
582,5315,12.223,7.492,2678.822,138.212,97.821,806.885,8708.367
583,5318,12.515,7.588,2676.99,137.954,97.419,807.283,7498.175
584,5318.5,12.56,7.603,2676.758,137.907,97.337,807.336,7323.124
585,5320.5,12.751,7.666,2676.552,137.739,96.996,807.497,7274.359
586,5321.5,12.858,7.7,2676.779,137.671,96.838,807.57,7364.069
587,5322.5,12.97,7.733,2677.035,137.61,96.686,807.644,7343.921
588,5325,13.25,7.815,2677.314,137.483,96.275,808.001,6604.141
589,5330,13.917,7.982,2675.217,137.41,95.069,809.045,5591.42
590,5331.5,14.15,8.034,2675.406,137.423,94.577,809.336,5109.335
591,5335.5,14.773,8.166,2676.392,137.482,92.981,809.914,3559.785
592,5336,14.851,8.182,2676.495,137.497,92.761,809.98,3384.745
593,5336.5,14.929,8.198,2676.594,137.514,92.537,810.046,3207.723
594,5341.5,15.712,8.336,2678.115,137.635,90.113,810.637,2542.759
595,5343,16.002,8.384,2678.557,137.7,89.183,810.808,2628.072
596,5343.5,16.106,8.401,2678.691,137.724,88.852,810.864,2656.192
597,5345,16.426,8.453,2679.067,137.805,87.862,811.031,2768.704
598,5346.5,16.753,8.508,2679.407,137.886,86.853,811.195,2801.806
599,5349,17.291,8.592,2680.495,138.05,85.111,811.285,2623.758
600,5352.5,18.016,8.687,2684.019,138.295,82.762,811.24,2845.584
601,5353,18.114,8.696,2684.48,138.324,82.437,811.222,2852.778
602,5354,18.299,8.71,2685.343,138.386,81.813,811.165,2859.459
603,5356,18.644,8.726,2686.651,138.524,80.731,810.995,2838.029
604,5356.5,18.729,8.729,2686.83,138.562,80.466,810.947,2816.065
605,5357,18.815,8.732,2686.931,138.596,80.2,810.896,2792.805
606,5358.5,19.074,8.742,2686.744,138.673,79.37,810.773,2751.316
607,5360,19.345,8.758,2686.126,138.725,78.481,810.688,2792.704
608,5360.5,19.437,8.765,2685.882,138.739,78.206,810.661,2814.003
609,5361,19.529,8.772,2685.624,138.754,77.951,810.633,2834.343
610,5362.5,19.802,8.795,2685.337,138.801,77.299,810.543,2856.63
611,5363,19.893,8.803,2685.417,138.816,77.119,810.499,2859.647
612,5363.5,19.985,8.812,2685.586,138.83,76.954,810.443,2859.701
613,5364.5,20.173,8.829,2685.965,138.85,76.641,810.29,2857.797
614,5366.5,20.546,8.861,2686.614,138.87,76.137,809.876,2817.934
615,5368,20.803,8.882,2687.069,138.854,75.929,809.515,2760.229
616,5369,20.963,8.894,2687.462,138.833,75.849,809.249,2725.412
617,5369.5,21.04,8.899,2687.7,138.826,75.821,809.108,2715.99
618,5372,21.476,8.959,2690.47,138.795,75.69,808.311,2662.926
619,5377.5,22.405,9.081,2700.575,138.678,75.871,806.52,2558.582
620,5378,22.485,9.092,2701.706,138.665,75.94,806.363,2557.537
621,5378.5,22.564,9.104,2702.885,138.652,76.021,806.207,2562.99
622,5380,22.8,9.139,2706.73,138.615,76.315,805.748,2576.808
623,5382.5,23.144,9.192,2714.202,138.576,76.779,805,2587.618
624,5383,23.201,9.201,2715.848,138.573,76.882,804.85,2592.444
625,5385,23.371,9.224,2722.936,138.568,77.364,804.248,2608.475
626,5385.5,23.4,9.226,2724.743,138.567,77.505,804.098,2607.076
627,5387,23.472,9.228,2729.802,138.56,77.977,803.667,2576.474
628,5389.5,23.55,9.229,2737.814,138.565,78.898,803.179,2510.069
629,5390,23.56,9.229,2739.468,138.578,79.099,803.097,2505.697
630,5392.5,23.577,9.241,2748.157,138.631,79.981,802.73,2582.779
631,5393.5,23.579,9.254,2751.906,138.654,80.35,802.622,2627.59
632,5396.5,23.593,9.318,2763.558,138.784,81.894,802.516,2677.971
633,5398.5,23.596,9.371,2771.196,138.899,83.011,802.53,2674.131
634,5399.5,23.593,9.395,2775.01,138.953,83.496,802.543,2669.274
635,5401,23.581,9.428,2780.685,139.019,84.214,802.572,2640.26
636,5405,23.539,9.503,2795.398,139.167,86.099,802.658,2643.05
637,5406,23.53,9.52,2798.872,139.188,86.511,802.691,2690.999
638,5407.5,23.527,9.549,2803.811,139.219,87.121,802.769,2762.859
639,5408,23.529,9.56,2805.378,139.231,87.325,802.804,2776.205
640,5412,23.391,9.588,2814.01,139.307,88.711,803.282,2819.27
641,5412.5,23.359,9.588,2814.947,139.31,88.832,803.355,2839.029
642,5413,23.325,9.587,2815.844,139.313,88.939,803.43,2862.27
643,5415,23.181,9.584,2819.025,139.327,89.36,803.728,2944.468
644,5415.5,23.143,9.583,2819.711,139.329,89.481,803.801,2965.835
645,5416.5,23.065,9.581,2820.953,139.327,89.735,803.945,2998.277
646,5417.5,22.988,9.579,2822.016,139.314,89.996,804.088,3019.026
647,5418,22.95,9.578,2822.475,139.304,90.129,804.16,3019.376
648,5418.5,22.912,9.577,2822.881,139.293,90.264,804.231,3005.639
649,5421,22.728,9.571,2824.186,139.23,90.92,804.55,2914.328
650,5421.5,22.693,9.569,2824.385,139.215,91.037,804.603,2903.214
651,5423,22.599,9.563,2824.946,139.165,91.332,804.748,2916.199
652,5424,22.55,9.562,2825.217,139.131,91.452,804.84,2947.883
653,5424.5,22.532,9.562,2825.332,139.114,91.481,804.885,2977.261
654,5430.5,22.451,9.575,2825.974,138.904,90.976,805.368,3014.302
655,5431,22.451,9.575,2825.978,138.887,90.866,805.394,2990.946
656,5432.5,22.467,9.576,2825.927,138.841,90.475,805.452,2888.794
657,5433,22.476,9.575,2825.946,138.829,90.321,805.465,2850.921
658,5435.5,22.576,9.576,2826.625,138.757,89.461,805.465,2797.502
659,5436,22.608,9.577,2826.817,138.739,89.27,805.446,2814.788
660,5436.5,22.643,9.578,2827.018,138.721,89.069,805.424,2832.249
661,5437.5,22.717,9.577,2827.448,138.684,88.633,805.374,2851.776
662,5439,22.838,9.574,2828.183,138.621,87.905,805.292,2833.898
663,5440.5,22.945,9.566,2829.05,138.544,87.1,805.21,2835.147
664,5448.5,23.023,9.44,2834.87,138.501,83.292,804.834,2947.833
665,5449,22.984,9.425,2835.268,138.524,83.124,804.809,2927.715
666,5454,22.424,9.248,2839.338,138.837,82.064,804.585,2610.26
667,5454.5,22.344,9.226,2839.732,138.871,82.022,804.57,2591.1
668,5455,22.259,9.203,2840.127,138.907,81.992,804.556,2574.421
669,5455.5,22.17,9.179,2840.527,138.943,81.974,804.543,2559.909
670,5458,21.668,9.05,2842.667,139.15,82.066,804.497,2623.363
671,5459,21.431,8.993,2843.433,139.239,82.192,804.492,2891.419
672,5462.5,20.5,8.786,2844.958,139.584,83.124,804.595,4220.038
673,5464,20.069,8.693,2845.499,139.748,83.672,804.687,4790.684
674,5465.5,19.617,8.594,2846.083,139.907,84.273,804.79,5397.926
675,5466.5,19.308,8.527,2846.481,140.014,84.739,804.861,5804.481
676,5469,18.523,8.355,2847.44,140.306,85.937,805.039,7085.662
677,5469.5,18.365,8.32,2847.615,140.369,86.181,805.076,7223.757
678,5475,16.539,7.905,2849.324,141.085,88.978,805.586,7325.651
679,5475.5,16.356,7.862,2849.267,141.143,89.251,805.664,7316.793
680,5476,16.17,7.819,2849.136,141.2,89.53,805.747,7307.992
681,5477.5,15.601,7.69,2848.441,141.366,90.383,806.003,7295.991
682,5478,15.408,7.648,2848.203,141.42,90.668,806.09,7303.524
683,5478.5,15.214,7.606,2847.971,141.473,90.952,806.179,7315.761
684,5480,14.636,7.481,2847.302,141.629,91.796,806.447,7383.593
685,5481,14.258,7.4,2846.86,141.724,92.351,806.627,7464.644
686,5482,13.884,7.318,2846.416,141.819,92.902,806.807,7581.314
687,5482.5,13.699,7.277,2846.195,141.866,93.178,806.896,7632.697
688,5484.5,12.974,7.115,2845.282,142.074,94.205,807.249,7778.927
689,5485.5,12.631,7.036,2844.785,142.191,94.65,807.425,7569.39
690,5487,12.146,6.924,2843.946,142.366,95.223,807.681,7148.852
691,5491,11.05,6.651,2841.19,142.802,96.268,808.268,5457.137
692,5492,10.822,6.591,2840.412,142.907,96.408,808.388,5082.472
693,5492.5,10.715,6.562,2840.003,142.957,96.461,808.442,4905.4
694,5493.5,10.516,6.507,2839.137,143.056,96.529,808.538,4551.593
695,5494,10.423,6.481,2838.676,143.104,96.546,808.581,4220.134
696,5495,10.25,6.431,2837.687,143.197,96.544,808.659,3676.319
697,5495.5,10.17,6.407,2837.16,143.242,96.526,808.7,3469.762
698,5498,9.821,6.299,2833.983,143.48,96.3,808.943,3036.004
699,5498.5,9.763,6.279,2833.219,143.526,96.233,809.015,3017.983
700,5499,9.709,6.26,2832.344,143.571,96.16,809.1,3012.22
701,5500,9.613,6.223,2830.246,143.655,95.998,809.307,3014.875
702,5501,9.52,6.187,2827.683,143.735,95.819,809.507,3030.431
703,5501.5,9.474,6.17,2826.418,143.773,95.717,809.591,3042.731
704,5503.5,9.297,6.106,2822.671,143.919,95.18,809.846,3112.81
705,5505,9.182,6.067,2820.827,144.005,94.7,810.001,3146.561
706,5506,9.111,6.044,2819.861,144.04,94.372,810.09,3139.865
707,5507,9.042,6.022,2819.131,144.055,94.035,810.17,3101.042
708,5508.5,8.935,5.988,2818.491,144.048,93.523,810.275,2994.204
709,5510.5,8.785,5.941,2818.388,143.994,92.803,810.376,2876.949
710,5511,8.746,5.93,2818.482,143.973,92.594,810.398,2870.559
711,5512.5,8.627,5.898,2819.392,143.883,91.893,810.468,2889.754
712,5515.5,8.378,5.837,2824.636,143.519,90.242,810.516,3025.314
713,5516,8.335,5.827,2825.806,143.439,89.946,810.507,3049.661
714,5516.5,8.291,5.818,2827.046,143.353,89.646,810.499,3068.632
715,5517.5,8.203,5.799,2829.731,143.167,89.05,810.486,3081.475
716,5518,8.157,5.789,2831.178,143.07,88.753,810.481,3079.846
717,5520.5,7.919,5.743,2839.511,142.531,87.129,810.424,3024.727
718,5521.5,7.821,5.727,2844.054,142.292,86.342,810.274,3011.642
719,5522.5,7.728,5.712,2850.061,142.043,85.538,810.063,3002.72
720,5524,7.593,5.691,2860.073,141.666,84.369,809.753,2952.691
721,5524.5,7.55,5.685,2863.417,141.523,84,809.651,2930.926
722,5525,7.506,5.678,2866.763,141.375,83.641,809.552,2914.988
723,5525.5,7.463,5.672,2870.113,141.223,83.291,809.455,2907.789
724,5526,7.42,5.665,2873.465,141.066,82.941,809.361,2903.938
725,5527.5,7.293,5.646,2883.537,140.598,81.893,809.097,2890.722
726,5532,6.959,5.598,2912.883,139.149,78.9,808.619,2783.065
727,5535,6.774,5.574,2930.611,138.215,77.305,808.516,2902.373
728,5537,6.667,5.561,2942.035,137.644,76.373,808.495,3015.171
729,5539.5,6.557,5.55,2956.886,137.004,75.671,808.335,3074.334
730,5541,6.503,5.545,2963.936,136.642,75.367,808.131,3081.711
731,5543,6.445,5.539,2971.224,136.188,74.953,807.947,3109.141
732,5544.5,6.425,5.535,2974.899,135.911,74.605,807.638,3150.481
733,5545,6.423,5.534,2975.556,135.836,74.462,807.488,3163.588
734,5549,6.568,5.559,2970.764,135.433,73.26,805.318,3248.551
735,5550.5,6.7,5.584,2963.906,135.308,72.84,804.018,3292.257
736,5553,6.999,5.644,2947.184,135.141,72.338,801.255,3373.67
737,5554,7.146,5.674,2938.721,135.102,72.127,799.938,3429.645
738,5554.5,7.223,5.69,2934.112,135.083,72.007,799.235,3465.061
739,5556.5,7.562,5.757,2913.191,135.051,71.516,796.127,3628.773
740,5557.5,7.749,5.794,2901.22,135.075,71.333,794.387,3694.891
741,5559,8.056,5.855,2880.641,135.134,71.07,791.539,3761.879
742,5562.5,8.894,6.018,2818.248,135.378,69.908,784.194,3886.29
743,5565,9.559,6.145,2768.226,135.611,68.728,778.332,3920.873
744,5568.5,10.543,6.332,2694.123,135.823,66.768,769.604,3984.503
745,5569,10.681,6.358,2683.715,135.851,66.444,768.343,4003.114
746,5569.5,10.818,6.384,2673.378,135.885,66.101,767.077,4019.026
747,5570.5,11.089,6.434,2652.928,135.972,65.364,764.528,4034.266
748,5571,11.222,6.458,2642.794,136.028,64.976,763.248,4036.007
749,5572,11.49,6.508,2622.683,136.135,64.183,760.679,4035.659
750,5573,11.756,6.559,2602.8,136.241,63.376,758.098,4029.632
751,5575,12.278,6.659,2563.833,136.438,61.522,752.895,4052.118
752,5578.5,13.206,6.83,2497.249,136.662,58.046,743.638,4162.471
753,5579,13.342,6.856,2487.967,136.694,57.55,742.307,4156.521
754,5579.5,13.478,6.882,2478.738,136.726,57.054,740.974,4144.665
755,5582,14.16,7.015,2433.889,136.905,54.752,734.285,4091.577
756,5584.5,14.833,7.147,2393.895,137.112,52.879,727.832,4057.161
757,5587.5,15.485,7.27,2353.556,137.376,51.037,720.96,3963.996
758,5588,15.578,7.287,2347.723,137.43,50.738,719.919,3941.003
759,5588.5,15.667,7.303,2342.08,137.489,50.436,718.912,3919.5
760,5589,15.752,7.32,2336.628,137.55,50.136,717.938,3897.385
